mu_g,b,Γ_sch/Γ0,Γ_total/Γ0,Γ_inst,m
0.01,0.0,63.929799258245076,63.929799258245076,0.0,9.10999999999999e-31
0.01,0.0,2832323405538321.0,2832323405538321.0,0.0,2.6649528724626883e-30
0.01,0.0,1.6994690212841012e+132,1.6994690212841012e+132,0.0,7.795800013663226e-30
0.01,0.0,0.0,0.0,0.0,2.2805092908404498e-29
0.01,0.0,0.0,0.0,0.0,6.671185274756434e-29
0.01,0.0,0.0,0.0,0.0,1.951525176804936e-28
0.01,0.0,0.0,0.0,0.0,5.708806394741622e-28
0.01,0.0,0.0,0.0,0.0,1.670000000000007e-27
0.01,2.2222222222222223,55.290209546753104,55.290209546753104,0.0,9.10999999999999e-31
0.01,2.2222222222222223,2449558052948060.5,2449558052948060.5,0.0,2.6649528724626883e-30
0.01,2.2222222222222223,1.4697996770714835e+132,1.4697996770714835e+132,0.0,7.795800013663226e-30
0.01,2.2222222222222223,0.0,0.0,0.0,2.2805092908404498e-29
0.01,2.2222222222222223,0.0,0.0,0.0,6.671185274756434e-29
0.01,2.2222222222222223,0.0,0.0,0.0,1.951525176804936e-28
0.01,2.2222222222222223,0.0,0.0,0.0,5.708806394741622e-28
0.01,2.2222222222222223,0.0,0.0,0.0,1.670000000000007e-27
0.01,4.444444444444445,48.29058059195649,48.29058059195649,0.0,9.10999999999999e-31
0.01,4.444444444444445,2139448946572330.2,2139448946572330.2,0.0,2.6649528724626883e-30
0.01,4.444444444444445,1.283726003961586e+132,1.283726003961586e+132,0.0,7.795800013663226e-30
0.01,4.444444444444445,0.0,0.0,0.0,2.2805092908404498e-29
0.01,4.444444444444445,0.0,0.0,0.0,6.671185274756434e-29
0.01,4.444444444444445,0.0,0.0,0.0,1.951525176804936e-28
0.01,4.444444444444445,0.0,0.0,0.0,5.708806394741622e-28
0.01,4.444444444444445,0.0,0.0,0.0,1.670000000000007e-27
0.01,6.666666666666667,42.54066435487387,42.54066435487387,0.0,9.10999999999999e-31
0.01,6.666666666666667,1884706674155862.5,1884706674155862.5,0.0,2.6649528724626883e-30
0.01,6.666666666666667,1.1308738969116783e+132,1.1308738969116783e+132,0.0,7.795800013663226e-30
0.01,6.666666666666667,0.0,0.0,0.0,2.2805092908404498e-29
0.01,6.666666666666667,0.0,0.0,0.0,6.671185274756434e-29
0.01,6.666666666666667,0.0,0.0,0.0,1.951525176804936e-28
0.01,6.666666666666667,0.0,0.0,0.0,5.708806394741622e-28
0.01,6.666666666666667,0.0,0.0,0.0,1.670000000000007e-27
0.01,8.88888888888889,37.75974660509873,37.75974660509873,0.0,9.10999999999999e-31
0.01,8.88888888888889,1672894570883923.8,1672894570883923.8,0.0,2.6649528724626883e-30
0.01,8.88888888888889,1.0037810278064738e+132,1.0037810278064738e+132,0.0,7.795800013663226e-30
0.01,8.88888888888889,0.0,0.0,0.0,2.2805092908404498e-29
0.01,8.88888888888889,0.0,0.0,0.0,6.671185274756434e-29
0.01,8.88888888888889,0.0,0.0,0.0,1.951525176804936e-28
0.01,8.88888888888889,0.0,0.0,0.0,5.708806394741622e-28
0.01,8.88888888888889,0.0,0.0,0.0,1.670000000000007e-27
0.01,11.11111111111111,33.74172352550373,33.74172352550373,0.0,9.10999999999999e-31
0.01,11.11111111111111,1494881485525105.5,1494881485525105.5,0.0,2.6649528724626883e-30
0.01,11.11111111111111,8.969684641850486e+131,8.969684641850486e+131,0.0,7.795800013663226e-30
0.01,11.11111111111111,0.0,0.0,0.0,2.2805092908404498e-29
0.01,11.11111111111111,0.0,0.0,0.0,6.671185274756434e-29
0.01,11.11111111111111,0.0,0.0,0.0,1.951525176804936e-28
0.01,11.11111111111111,0.0,0.0,0.0,5.708806394741622e-28
0.01,11.11111111111111,0.0,0.0,0.0,1.670000000000007e-27
0.01,13.333333333333334,30.332510928067016,30.332510928067016,0.0,9.10999999999999e-31
0.01,13.333333333333334,1343840926252103.8,1343840926252103.8,0.0,2.6649528724626883e-30
0.01,13.333333333333334,8.063401302384509e+131,8.063401302384509e+131,0.0,7.795800013663226e-30
0.01,13.333333333333334,0.0,0.0,0.0,2.2805092908404498e-29
0.01,13.333333333333334,0.0,0.0,0.0,6.671185274756434e-29
0.01,13.333333333333334,0.0,0.0,0.0,1.951525176804936e-28
0.01,13.333333333333334,0.0,0.0,0.0,5.708806394741622e-28
0.01,13.333333333333334,0.0,0.0,0.0,1.670000000000007e-27
0.01,15.555555555555557,27.415048797979033,27.415048797979033,0.0,9.10999999999999e-31
0.01,15.555555555555557,1214586707222874.0,1214586707222874.0,0.0,2.6649528724626883e-30
0.01,15.555555555555557,7.287841771714685e+131,7.287841771714685e+131,0.0,7.795800013663226e-30
0.01,15.555555555555557,0.0,0.0,0.0,2.2805092908404498e-29
0.01,15.555555555555557,0.0,0.0,0.0,6.671185274756434e-29
0.01,15.555555555555557,0.0,0.0,0.0,1.951525176804936e-28
0.01,15.555555555555557,0.0,0.0,0.0,5.708806394741622e-28
0.01,15.555555555555557,0.0,0.0,0.0,1.670000000000007e-27
0.01,17.77777777777778,24.899116936022075,24.899116936022075,0.0,9.10999999999999e-31
0.01,17.77777777777778,1103121744372372.8,1103121744372372.8,0.0,2.6649528724626883e-30
0.01,17.77777777777778,6.619022487332837e+131,6.619022487332837e+131,0.0,7.795800013663226e-30
0.01,17.77777777777778,0.0,0.0,0.0,2.2805092908404498e-29
0.01,17.77777777777778,0.0,0.0,0.0,6.671185274756434e-29
0.01,17.77777777777778,0.0,0.0,0.0,1.951525176804936e-28
0.01,17.77777777777778,0.0,0.0,0.0,5.708806394741622e-28
0.01,17.77777777777778,0.0,0.0,0.0,1.670000000000007e-27
0.01,20.0,22.714275186630452,22.714275186630452,0.0,9.10999999999999e-31
0.01,20.0,1006325281752460.9,1006325281752460.9,0.0,2.6649528724626883e-30
0.01,20.0,6.038218087415947e+131,6.038218087415947e+131,0.0,7.795800013663226e-30
0.01,20.0,0.0,0.0,0.0,2.2805092908404498e-29
0.01,20.0,0.0,0.0,0.0,6.671185274756434e-29
0.01,20.0,0.0,0.0,0.0,1.951525176804936e-28
0.01,20.0,0.0,0.0,0.0,5.708806394741622e-28
0.01,20.0,0.0,0.0,0.0,1.670000000000007e-27
0.12,0.0,63.92980848876274,63.92980848876274,0.0,9.10999999999999e-31
0.12,0.0,2832326905055321.5,2832326905055321.5,0.0,2.6649528724626883e-30
0.12,0.0,1.6994869902406753e+132,1.6994869902406753e+132,0.0,7.795800013663226e-30
0.12,0.0,0.0,0.0,0.0,2.2805092908404498e-29
0.12,0.0,0.0,0.0,0.0,6.671185274756434e-29
0.12,0.0,0.0,0.0,0.0,1.951525176804936e-28
0.12,0.0,0.0,0.0,0.0,5.708806394741622e-28
0.12,0.0,0.0,0.0,0.0,1.670000000000007e-27
0.12,2.2222222222222223,55.29021752984177,55.29021752984177,0.0,9.10999999999999e-31
0.12,2.2222222222222223,2449561079533948.5,2449561079533948.5,0.0,2.6649528724626883e-30
0.12,2.2222222222222223,1.469815217670482e+132,1.469815217670482e+132,0.0,7.795800013663226e-30
0.12,2.2222222222222223,0.0,0.0,0.0,2.2805092908404498e-29
0.12,2.2222222222222223,0.0,0.0,0.0,6.671185274756434e-29
0.12,2.2222222222222223,0.0,0.0,0.0,1.951525176804936e-28
0.12,2.2222222222222223,0.0,0.0,0.0,5.708806394741622e-28
0.12,2.2222222222222223,0.0,0.0,0.0,1.670000000000007e-27
0.12,4.444444444444445,48.290587564402244,48.290587564402244,0.0,9.10999999999999e-31
0.12,4.444444444444445,2139451589998552.8,2139451589998552.8,0.0,2.6649528724626883e-30
0.12,4.444444444444445,1.2837395771521116e+132,1.2837395771521116e+132,0.0,7.795800013663226e-30
0.12,4.444444444444445,0.0,0.0,0.0,2.2805092908404498e-29
0.12,4.444444444444445,0.0,0.0,0.0,6.671185274756434e-29
0.12,4.444444444444445,0.0,0.0,0.0,1.951525176804936e-28
0.12,4.444444444444445,0.0,0.0,0.0,5.708806394741622e-28
0.12,4.444444444444445,0.0,0.0,0.0,1.670000000000007e-27
0.12,6.666666666666667,42.540670497116736,42.540670497116736,0.0,9.10999999999999e-31
0.12,6.666666666666667,1884709002831689.0,1884709002831689.0,0.0,2.6649528724626883e-30
0.12,6.666666666666667,1.1308858539545487e+132,1.1308858539545487e+132,0.0,7.795800013663226e-30
0.12,6.666666666666667,0.0,0.0,0.0,2.2805092908404498e-29
0.12,6.666666666666667,0.0,0.0,0.0,6.671185274756434e-29
0.12,6.666666666666667,0.0,0.0,0.0,1.951525176804936e-28
0.12,6.666666666666667,0.0,0.0,0.0,5.708806394741622e-28
0.12,6.666666666666667,0.0,0.0,0.0,1.670000000000007e-27
0.12,8.88888888888889,37.75975205704777,37.75975205704777,0.0,9.10999999999999e-31
0.12,8.88888888888889,1672896637852328.2,1672896637852328.2,0.0,2.6649528724626883e-30
0.12,8.88888888888889,1.003791641061245e+132,1.003791641061245e+132,0.0,7.795800013663226e-30
0.12,8.88888888888889,0.0,0.0,0.0,2.2805092908404498e-29
0.12,8.88888888888889,0.0,0.0,0.0,6.671185274756434e-29
0.12,8.88888888888889,0.0,0.0,0.0,1.951525176804936e-28
0.12,8.88888888888889,0.0,0.0,0.0,5.708806394741622e-28
0.12,8.88888888888889,0.0,0.0,0.0,1.670000000000007e-27
0.12,11.11111111111111,33.74172839730966,33.74172839730966,0.0,9.10999999999999e-31
0.12,11.11111111111111,1494883332546940.2,1494883332546940.2,0.0,2.6649528724626883e-30
0.12,11.11111111111111,8.969779480810062e+131,8.969779480810062e+131,0.0,7.795800013663226e-30
0.12,11.11111111111111,0.0,0.0,0.0,2.2805092908404498e-29
0.12,11.11111111111111,0.0,0.0,0.0,6.671185274756434e-29
0.12,11.11111111111111,0.0,0.0,0.0,1.951525176804936e-28
0.12,11.11111111111111,0.0,0.0,0.0,5.708806394741622e-28
0.12,11.11111111111111,0.0,0.0,0.0,1.670000000000007e-27
0.12,13.333333333333334,30.332515307633056,30.332515307633056,0.0,9.10999999999999e-31
0.12,13.333333333333334,1343842586653651.8,1343842586653651.8,0.0,2.6649528724626883e-30
0.12,13.333333333333334,8.063486558959373e+131,8.063486558959373e+131,0.0,7.795800013663226e-30
0.12,13.333333333333334,0.0,0.0,0.0,2.2805092908404498e-29
0.12,13.333333333333334,0.0,0.0,0.0,6.671185274756434e-29
0.12,13.333333333333334,0.0,0.0,0.0,1.951525176804936e-28
0.12,13.333333333333334,0.0,0.0,0.0,5.708806394741622e-28
0.12,13.333333333333334,0.0,0.0,0.0,1.670000000000007e-27
0.12,15.555555555555557,27.415052756306686,27.415052756306686,0.0,9.10999999999999e-31
0.12,15.555555555555557,1214588207922555.0,1214588207922555.0,0.0,2.6649528724626883e-30
0.12,15.555555555555557,7.287918828083866e+131,7.287918828083866e+131,0.0,7.795800013663226e-30
0.12,15.555555555555557,0.0,0.0,0.0,2.2805092908404498e-29
0.12,15.555555555555557,0.0,0.0,0.0,6.671185274756434e-29
0.12,15.555555555555557,0.0,0.0,0.0,1.951525176804936e-28
0.12,15.555555555555557,0.0,0.0,0.0,5.708806394741622e-28
0.12,15.555555555555557,0.0,0.0,0.0,1.670000000000007e-27
0.12,17.77777777777778,24.89912053108637,24.89912053108637,0.0,9.10999999999999e-31
0.12,17.77777777777778,1103123107349951.8,1103123107349951.8,0.0,2.6649528724626883e-30
0.12,17.77777777777778,6.619092472090516e+131,6.619092472090516e+131,0.0,7.795800013663226e-30
0.12,17.77777777777778,0.0,0.0,0.0,2.2805092908404498e-29
0.12,17.77777777777778,0.0,0.0,0.0,6.671185274756434e-29
0.12,17.77777777777778,0.0,0.0,0.0,1.951525176804936e-28
0.12,17.77777777777778,0.0,0.0,0.0,5.708806394741622e-28
