mu_g,b,Yield_Gain_Ratio,Field_Gain_Ratio,Schwinger_Rate,Critical_Field
0.05,0.0,0.999167,1.0,0.00232123,3.6e-05
0.0688,0.0,0.998425,1.0,0.00231951,3.6e-05
0.0875,0.0,0.997451,1.0,0.00231725,3.6e-05
0.1062,0.0,0.996243,1.0,0.00231444,3.6e-05
0.125,0.0,0.994803,1.0,0.00231109,3.6e-05
0.1438,0.0,0.993131,1.0,0.00230721,3.6e-05
0.1625,0.0,0.991229,1.0,0.00230279,3.6e-05
0.1813,0.0,0.989097,1.0,0.00229784,3.6e-05
0.2,0.0,0.986738,1.0,0.00229236,3.6e-05
0.2188,0.0,0.984151,1.0,0.00228635,3.6e-05
0.2375,0.0,0.981339,1.0,0.00227982,3.6e-05
0.2562,0.0,0.978303,1.0,0.00227276,3.6e-05
0.275,0.0,0.975044,1.0,0.00226519,3.6e-05
0.2938,0.0,0.971566,1.0,0.00225711,3.6e-05
0.3125,0.0,0.967869,1.0,0.00224852,3.6e-05
0.3312,0.0,0.963955,1.0,0.00223943,3.6e-05
0.35,0.0,0.959828,1.0,0.00222984,3.6e-05
0.3687,0.0,0.955488,1.0,0.00221976,3.6e-05
0.3875,0.0,0.950939,1.0,0.00220919,3.6e-05
0.4062,0.0,0.946183,1.0,0.00219814,3.6e-05
0.425,0.0,0.941223,1.0,0.00218662,3.6e-05
0.4438,0.0,0.936061,1.0,0.00217463,3.6e-05
0.4625,0.0,0.930701,1.0,0.00216217,3.6e-05
0.4812,0.0,0.925144,1.0,0.00214927,3.6e-05
0.5,0.0,0.919395,1.0,0.00213591,3.6e-05
0.05,0.79,0.999167,0.993933,0.00232123,3.6e-05
0.0688,0.79,0.998425,0.993933,0.00231951,3.6e-05
0.0875,0.79,0.997451,0.993933,0.00231725,3.6e-05
0.1062,0.79,0.996243,0.993933,0.00231444,3.6e-05
0.125,0.79,0.994803,0.993933,0.00231109,3.6e-05
0.1438,0.79,0.993131,0.993933,0.00230721,3.6e-05
0.1625,0.79,0.991229,0.993933,0.00230279,3.6e-05
0.1813,0.79,0.989097,0.993933,0.00229784,3.6e-05
0.2,0.79,0.986738,0.993933,0.00229236,3.6e-05
0.2188,0.79,0.984151,0.993933,0.00228635,3.6e-05
0.2375,0.79,0.981339,0.993933,0.00227982,3.6e-05
0.2562,0.79,0.978303,0.993933,0.00227276,3.6e-05
0.275,0.79,0.975044,0.993933,0.00226519,3.6e-05
0.2938,0.79,0.971566,0.993933,0.00225711,3.6e-05
0.3125,0.79,0.967869,0.993933,0.00224852,3.6e-05
0.3312,0.79,0.963955,0.993933,0.00223943,3.6e-05
0.35,0.79,0.959828,0.993933,0.00222984,3.6e-05
0.3687,0.79,0.955488,0.993933,0.00221976,3.6e-05
0.3875,0.79,0.950939,0.993933,0.00220919,3.6e-05
0.4062,0.79,0.946183,0.993933,0.00219814,3.6e-05
0.425,0.79,0.941223,0.993933,0.00218662,3.6e-05
0.4438,0.79,0.936061,0.993933,0.00217463,3.6e-05
0.4625,0.79,0.930701,0.993933,0.00216217,3.6e-05
0.4812,0.79,0.925144,0.993933,0.00214927,3.6e-05
0.5,0.79,0.919395,0.993933,0.00213591,3.6e-05
0.05,1.58,0.999167,0.987662,0.00232123,3.5e-05
0.0688,1.58,0.998425,0.987662,0.00231951,3.5e-05
0.0875,1.58,0.997451,0.987662,0.00231725,3.5e-05
0.1062,1.58,0.996243,0.987662,0.00231444,3.5e-05
0.125,1.58,0.994803,0.987662,0.00231109,3.5e-05
0.1438,1.58,0.993131,0.987662,0.00230721,3.5e-05
0.1625,1.58,0.991229,0.987662,0.00230279,3.5e-05
0.1813,1.58,0.989097,0.987662,0.00229784,3.5e-05
0.2,1.58,0.986738,0.987662,0.00229236,3.5e-05
0.2188,1.58,0.984151,0.987662,0.00228635,3.5e-05
0.2375,1.58,0.981339,0.987662,0.00227982,3.5e-05
0.2562,1.58,0.978303,0.987662,0.00227276,3.5e-05
0.275,1.58,0.975044,0.987662,0.00226519,3.5e-05
0.2938,1.58,0.971566,0.987662,0.00225711,3.5e-05
0.3125,1.58,0.967869,0.987662,0.00224852,3.5e-05
0.3312,1.58,0.963955,0.987662,0.00223943,3.5e-05
0.35,1.58,0.959828,0.987662,0.00222984,3.5e-05
0.3687,1.58,0.955488,0.987662,0.00221976,3.5e-05
0.3875,1.58,0.950939,0.987662,0.00220919,3.5e-05
0.4062,1.58,0.946183,0.987662,0.00219814,3.5e-05
0.425,1.58,0.941223,0.987662,0.00218662,3.5e-05
0.4438,1.58,0.936061,0.987662,0.00217463,3.5e-05
0.4625,1.58,0.930701,0.987662,0.00216217,3.5e-05
0.4812,1.58,0.925144,0.987662,0.00214927,3.5e-05
0.5,1.58,0.919395,0.987662,0.00213591,3.5e-05
0.05,2.37,0.999167,0.981334,0.00232123,3.5e-05
0.0688,2.37,0.998425,0.981334,0.00231951,3.5e-05
0.0875,2.37,0.997451,0.981334,0.00231725,3.5e-05
0.1062,2.37,0.996243,0.981334,0.00231444,3.5e-05
0.125,2.37,0.994803,0.981334,0.00231109,3.5e-05
0.1438,2.37,0.993131,0.981334,0.00230721,3.5e-05
0.1625,2.37,0.991229,0.981334,0.00230279,3.5e-05
0.1813,2.37,0.989097,0.981334,0.00229784,3.5e-05
0.2,2.37,0.986738,0.981334,0.00229236,3.5e-05
0.2188,2.37,0.984151,0.981334,0.00228635,3.5e-05
